status,last_contact,next_followup,notes,name,id,city,neighborhood,region,tier,email,email_source,phone,website,instagram,listing_url,tcc_score,google_rating,google_reviews,address
,,,,Anoka Cannabis Company,anoka-cannabis-company,Anoka,Anoka,metro,free,,none,(763) 576-2967,https://anokacannabis.com/,https://instagram.com/anokadispo,https://twincitycannabis.com/#dispensary/anoka-cannabis-company,82,3.4,45,"839 East River Road, Anoka, MN 55303"
,,,,Aurora Cannabis MN,aurora-cannabis-prior-lake,Prior Lake,Prior Lake,metro,free,,none,,https://priorlakedispo.dispensary.shop/,,https://twincitycannabis.com/#dispensary/aurora-cannabis-prior-lake,78,,,"16535 Anna Trail SE, Prior Lake, MN 55372"
,,,,Blaine Dispensary,lucid-leaf-2,Blaine,Blaine,metro,free,,none,(763) 703-4202,https://blainedispensary.com/,,https://twincitycannabis.com/#dispensary/lucid-leaf-2,90,5,31,"1536 NE 125th Avenue, Blaine, MN 55449"
,,,,Bloom Wellness Dispensary - St Paul,bloom-wellness-dispensary-st-paul,Saint Paul,Saint Paul,metro,free,,none,(651) 760-0420,https://bloom-wellness.com/stores/bloom-wellness-st-paul,,https://twincitycannabis.com/#dispensary/bloom-wellness-dispensary-st-paul,70,3.8,9,"550 Vandalia Street #175, Saint Paul, MN 55114"
,,,,BlooMn,bloomn,Minneapolis,Minneapolis,metro,free,,none,(612) 493-0420,https://bloomn.com/,,https://twincitycannabis.com/#dispensary/bloomn,90,4.9,30,"2518 central ave ne, Minneapolis, MN 55418"
,,,,DNA Dispensary,dna-dispensary,Saint Paul,Saint Paul,metro,free,,none,(651) 391-3896,https://dnadispensary.wm.store/,,https://twincitycannabis.com/#dispensary/dna-dispensary,87,4.4,24,"1559 Randolph Ave, Saint Paul, MN 55105"
,,,,Edina Canna,edina-canna,Edina,Edina,metro,free,,none,(612) 208-6509,http://www.edinacanna.com/,,https://twincitycannabis.com/#dispensary/edina-canna,87,4.7,68,"7145 France Avenue South, Edina, MN 55435"
,,,,Fridley Dispensary,jens-consulting-llc-dba-fridley-dispensary,Fridley,Fridley,metro,free,,,(763) 264-6810,https://weedmaps.com/dispensaries/jens-consulting-llc-dba-fridley-dispensary,,https://twincitycannabis.com/#dispensary/jens-consulting-llc-dba-fridley-dispensary,70,,,"7315 Hwy 65 NE Unit A, Fridley, MN 55432"
,,,,Frostbite Dispensary,frostbite-dispensary,Roseville,Roseville,metro,free,info@frostbitedispensary.com,website,(651) 440-9991,http://www.frostbitedispensary.com/,https://instagram.com/frostbitecanna,https://twincitycannabis.com/#dispensary/frostbite-dispensary,86,4.8,46,"2218 COUNTY ROAD D West SUITE 200, Roseville, MN 55112"
,,,,Green Box Cannabis,green-box-cannabis,Lakeville,Lakeville,metro,free,,none,(651) 366-1581,http://greenboxcannabis.wm.store/,,https://twincitycannabis.com/#dispensary/green-box-cannabis,70,5,1,"16350 Kenrick Loop Ste D, Lakeville, MN 55044"
,,,,Green Goods - Blaine,green-goods-blaine,Blaine,Blaine,metro,free,patientcare@visitgreengoods.com,website,(763) 400-4777,https://visitgreengoods.com/locations/blaine-mn/?utm_source=google-gmb&utm_medium=organic&utm_campaign=blaine,https://instagram.com/green_goods__,https://twincitycannabis.com/#dispensary/green-goods-blaine,78,4.4,744,"672 County Highway 10 Northcourt Commons, Blaine, MN 55434"
,,,,Green Goods - Bloomington,minnesota-medical-solutions-bloomington,Bloomington,Bloomington,metro,free,patientcare@visitgreengoods.com,website,(952) 800-4404,https://visitgreengoods.com/locations/bloomington-mn/?utm_source=google-gmb&utm_medium=organic&utm_campaign=bloomington/,https://instagram.com/green_goods__,https://twincitycannabis.com/#dispensary/minnesota-medical-solutions-bloomington,81,4.5,765,"5232 W. 84th Street, Bloomington, MN 55437"
,,,,Green Goods - Burnsville,green-goods-burnsville,Burnsville,Burnsville,metro,free,patientcare@visitgreengoods.com,website,(952) 856-8603,https://visitgreengoods.com/locations/burnsville-mn/?utm_source=google-gmb&utm_medium=organic&utm_campaign=burnsville/,https://instagram.com/green_goods__,https://twincitycannabis.com/#dispensary/green-goods-burnsville,78,4.4,371,"14334 Burnhaven Drive Suite 14334, Burnsville, MN 55306"
,,,,Green Goods - Minneapolis,minnesota-medical-solutions,Minneapolis,Minneapolis,metro,free,patientcare@visitgreengoods.com,website,(612) 999-1615,https://visitgreengoods.com/,https://instagram.com/green_goods__,https://twincitycannabis.com/#dispensary/minnesota-medical-solutions,81,4.4,607,"207 9th St, Minneapolis, MN 55402"
,,,,Green Goods - Woodbury,green-goods-woodbury,Woodbury,Woodbury,metro,free,patientcare@visitgreengoods.com,website,(612) 260-1222,https://visitgreengoods.com/locations/woodbury-mn/?utm_source=google-gmb&utm_medium=organic&utm_campaign=woodbury,https://instagram.com/green_goods__,https://twincitycannabis.com/#dispensary/green-goods-woodbury,84,4.5,551,"803 Bielenberg Drive Building F5, Suite 101, Woodbury, MN 55125"
,,,,Green Rose - Opening Soon,green-rose,Minneapolis,Minneapolis,metro,free,,,(612) 315-5078,https://weedmaps.com/dispensaries/green-rose,,https://twincitycannabis.com/#dispensary/green-rose,70,,,"514 E. 60th St., Minneapolis, MN 55419"
,,,,High 10 Dispensary,high-10-dispensary,Ramsey,Ramsey,metro,free,patientcare@visitgreengoods.com,website,(763) 400-4777,https://visitgreengoods.com/locations/blaine-mn/?utm_source=google-gmb&utm_medium=organic&utm_campaign=blaine,https://instagram.com/green_goods__,https://twincitycannabis.com/#dispensary/high-10-dispensary,90,4.4,744,"6111 HW10 #500, Ramsey, MN 55303"
,,,,higherplace,higher-place,Chaska,Chaska,metro,free,contact@higherplacemn.com,website,(952) 807-9944,http://higherplacemn.com/,,https://twincitycannabis.com/#dispensary/higher-place,86,4.7,63,"103 W 2nd Street, Chaska, MN 55318"
,,,,Hopkins Dispensary,hopkis-dispensary,Hopkins,Hopkins,metro,free,info@hopkinsdispensary.com,website,(952) 381-5812,https://hopkinsdispensary.com/,,https://twincitycannabis.com/#dispensary/hopkis-dispensary,83,4.7,113,"415 17th ave North, Hopkins, MN 55343"
,,,,Legacy Cannabis Minneapolis,legacy-cannabis-1,Minneapolis,Minneapolis,metro,free,support@legacycannabismn.com,website,(612) 418-1050,https://legacycannabismn.com/,https://instagram.com/legacycannabiswoodbury,https://twincitycannabis.com/#dispensary/legacy-cannabis-1,83,4.4,52,"2930 Lyndale Ave S, Minneapolis, MN 55408"
,,,,Legacy Cannabis Woodbury,legacy-cannabis,Woodbury,Woodbury,metro,free,support@legacycannabismn.com,website,(651) 421-4088,https://legacycannabismn.com/,https://instagram.com/legacycannabiswoodbury,https://twincitycannabis.com/#dispensary/legacy-cannabis,87,4.1,136,"9891 Hudson Pl #100, Woodbury, MN 55125"
,,,,Legit Cannabis,legit-cannabis,Rosemount,Rosemount,metro,free,hello@mnlegitcannabis.com,website,(952) 236-0638,https://www.mnlegitcannabis.com/,https://instagram.com/legitcannabis,https://twincitycannabis.com/#dispensary/legit-cannabis,81,5,2,"16000 Cedar Ave, Rosemount, MN 55068"
,,,,Loon Leaf,loon-leaf,Blaine,Blaine,metro,free,${email}`);,website,(763) 215-8828,https://loonleafmn.com/,https://instagram.com/loonleafmn,https://twincitycannabis.com/#dispensary/loon-leaf,90,4.9,77,"8700 university ave NE, Blaine, MN 55448"
,,,,Lucky Strains Cannabis Dispensary,lucky-strains-cannabis-dispensary,New Brighton,New Brighton,metro,free,grow@luckystrains.gives,website,(651) 424-6788,https://www.luckystrains.gives/,https://instagram.com/lucky_strains,https://twincitycannabis.com/#dispensary/lucky-strains-cannabis-dispensary,90,4.9,92,"151 Silver Lake Road NW Suite 114, New Brighton, MN 55112"
,,,,Minnesota Canna,minnesota-canna,Edina,Edina,metro,free,,none,(952) 444-4420,https://minnesotacanna.com/,,https://twincitycannabis.com/#dispensary/minnesota-canna,88,4.9,34,"5125 Edina Industrial Blvd Suite 300, Edina, MN 55439"
,,,,MN THC CO - LAKEVILLE,mn-thc-co-2,Lakeville,Lakeville,metro,free,info@mnthc.co,website,(952) 388-1036,http://www.mnthc.co/,,https://twincitycannabis.com/#dispensary/mn-thc-co-2,90,4.8,141,"16085 BUCK HILL RD, Lakeville, MN 55044"
,,,,NativeCare West St. Paul,nativecare-west-st-paul,West St. Paul,West St. Paul,metro,free,info@nativecare.com,website,,https://www.nativecare.com,https://instagram.com/nativecareredlake,https://twincitycannabis.com/#dispensary/nativecare-west-st-paul,80,5,1,"2067 S Robert St, West St Paul, MN 55118"
,,,,Pot Mama's,pot-mama-s,Mendota Heights,Mendota Heights,metro,free,,,(651) 661-6262,https://weedmaps.com/dispensaries/pot-mama-s,,https://twincitycannabis.com/#dispensary/pot-mama-s,70,,,"1155 Centre Pointe Dr., Mendota Heights, MN 55120"
,,,,Pot Mama's - Edina,pot-mama-s-edina,Edina,Edina,metro,free,,,(720) 585-6288,https://weedmaps.com/dispensaries/pot-mama-s-edina,,https://twincitycannabis.com/#dispensary/pot-mama-s-edina,70,,,"4528 FRANCE AVENUE S, Edina, MN 55410"
